rank,token,frequency,length,category,chemical_meaning,is_valid_smiles,atom_count,atoms,has_aromatic,matched_patterns,respects_atom_boundary,pattern_details
1,(,16191,1,syntax,branch open,False,0,,False,,n/a,{'type': 'bracket'}
2,c,13469,1,aromatic,carbon (aromatic),True,1,C,True,,yes,{'type': 'aromatic_atom'}
3,*,10075,1,polymer_syntax,polymer attachment,False,0,,False,,n/a,{'type': 'attachment_point'}
4,1,7350,1,ring_closure,ring closure 1,False,0,,False,,n/a,{'type': 'ring_digit'}
5,O,5689,1,aliphatic,oxygen,True,1,O,False,,yes,{'type': 'aliphatic_atom'}
6,C,5627,1,aliphatic,carbon (aliphatic),True,1,C,False,,partial,{'type': 'aliphatic_atom'}
7,N,2982,1,aliphatic,nitrogen (aliphatic),True,1,N,False,,partial,{'type': 'aliphatic_atom'}
8,*),2680,2,polymer_syntax,complex pattern,False,0,,False,,n/a,{'type': 'attachment_point'}
9,C(,2513,2,aliphatic,complex pattern,False,0,,False,,partial,"{'aromatic': 0, 'aliphatic': 1, 'syntax': 1, 'bond': 0, 'ring': 0}"
10,2)c,2485,3,aromatic_ring,complex pattern,False,0,,False,,partial,"{'aromatic': 1, 'aliphatic': 0, 'syntax': 1, 'bond': 0, 'ring': 1}"
11,=,2462,1,bond,double bond,False,0,,False,,n/a,{'type': 'bond_symbol'}
12,C),2005,2,aliphatic,complex pattern,False,0,,False,,partial,"{'aromatic': 0, 'aliphatic': 1, 'syntax': 1, 'bond': 0, 'ring': 0}"
13,CC(,1987,3,aliphatic,alkyl chain,False,0,,False,,partial,"{'aromatic': 0, 'aliphatic': 2, 'syntax': 1, 'bond': 0, 'ring': 0}"
14,),1862,1,syntax,branch close,False,0,,False,,n/a,{'type': 'bracket'}
15,c2ccc,1818,5,aromatic_ring,aromatic ring fragment,False,0,,False,,partial,"{'aromatic': 4, 'aliphatic': 0, 'syntax': 0, 'bond': 0, 'ring': 1}"
16,Oc1ccc,1813,6,mixed,complex pattern,False,0,,False,,partial,"{'aromatic': 4, 'aliphatic': 1, 'syntax': 0, 'bond': 0, 'ring': 1}"
17,O),1718,2,aliphatic,complex pattern,False,0,,False,,partial,"{'aromatic': 0, 'aliphatic': 1, 'syntax': 1, 'bond': 0, 'ring': 0}"
18,C(=,1553,3,aliphatic,complex pattern,False,0,,False,,partial,"{'aromatic': 0, 'aliphatic': 1, 'syntax': 1, 'bond': 1, 'ring': 0}"
19,CC,1440,2,aliphatic,ethyl chain,True,2,"C,C",False,,partial,"{'aromatic': 0, 'aliphatic': 2, 'syntax': 0, 'bond': 0, 'ring': 0}"
20,C(=O),1418,5,functional_group,carbonyl,True,2,"C,O",False,carbonyl,yes,"{'aromatic': 0, 'aliphatic': 2, 'syntax': 2, 'bond': 1, 'ring': 0}"
21,S,1391,1,aliphatic,sulfur,True,1,S,False,,partial,{'type': 'aliphatic_atom'}
22,*c,1194,2,polymer_syntax,2-atom fragment,True,2,"*,C",True,,yes,{'type': 'attachment_point'}
23,ccc,1138,3,aromatic,aromatic chain,True,3,"C,C,C",True,,yes,"{'aromatic': 3, 'aliphatic': 0, 'syntax': 0, 'bond': 0, 'ring': 0}"
24,(C,1122,2,aliphatic,complex pattern,False,0,,False,,partial,"{'aromatic': 0, 'aliphatic': 1, 'syntax': 1, 'bond': 0, 'ring': 0}"
25,*)c,1081,3,polymer_syntax,complex pattern,False,0,,False,,partial,{'type': 'attachment_point'}
26,c(,1055,2,aromatic,complex pattern,False,0,,False,,partial,"{'aromatic': 1, 'aliphatic': 0, 'syntax': 1, 'bond': 0, 'ring': 0}"
27,/,1038,1,bond,cis/trans (up),False,0,,False,,n/a,{'type': 'bond_symbol'}
28,(-,1026,2,bond,complex pattern,False,0,,False,,n/a,"{'aromatic': 0, 'aliphatic': 0, 'syntax': 1, 'bond': 1, 'ring': 0}"
29,F)(,981,3,syntax,fluorine,False,0,,False,fluorine,partial,"{'aromatic': 0, 'aliphatic': 0, 'syntax': 2, 'bond': 0, 'ring': 0}"
30,=O),915,3,functional_group,carbonyl,False,0,,False,carbonyl,partial,"{'aromatic': 0, 'aliphatic': 1, 'syntax': 1, 'bond': 1, 'ring': 0}"
31,2,880,1,ring_closure,ring closure 2,False,0,,False,,n/a,{'type': 'ring_digit'}
32,c1ccc,797,5,aromatic_ring,benzene partial,False,0,,False,,partial,"{'aromatic': 4, 'aliphatic': 0, 'syntax': 0, 'bond': 0, 'ring': 1}"
33,1ccc,763,4,aromatic_ring,complex pattern,False,0,,False,,partial,"{'aromatic': 3, 'aliphatic': 0, 'syntax': 0, 'bond': 0, 'ring': 1}"
34,F)(F)C(,747,7,aliphatic,fluorine,False,0,,False,fluorine,partial,"{'aromatic': 0, 'aliphatic': 1, 'syntax': 4, 'bond': 0, 'ring': 0}"
35,3)c,723,3,aromatic_ring,complex pattern,False,0,,False,,partial,"{'aromatic': 1, 'aliphatic': 0, 'syntax': 1, 'bond': 0, 'ring': 1}"
