rank,token,frequency,length,example_1,example_2,example_3
1,(,16191,1,...CCC|NCC|(|*)=|O...,...CC(|C)|(|C|)CCCCCCC...,...*|Oc1ccc|(|CCCNC(=O)NCCCC(=|O)C(...
2,c,13469,1,...(*|)c|c|1...,...2OC)c|(C)|c|1C...,...C(=|O)N|c|1ccc|(...
3,*,10075,1,...*|CCC[Fe]CCCC(=|O)OCCCC...,...*|CCCC|1...,...*|CCC*...
4,1,7350,1,...*|CCCC|1|C|=...,...Oc1ccc|(*)cc|1|O...,...)c|c|1...
5,O,5689,1,...CCC[Fe]CCCC(=|O)OCCCC|O|CCC|NCC...,...(*)cc|1|O...,...*|O|*...
6,C,5627,1,...CCCC|1|C|=|C...,...C)|(|C|)CCCCCCC|(...,...CCN|(|C|F)c|1ccc...
7,N,2982,1,...*|N|C(=O)O|CC1...,...*|CCCCCCCCCCCCCCCC|N|C|(=O)CCCCCCCCCCCCC(=O)...,...*|N|C(=O)c|1ccc...
8,*),2680,2,...*|CC(|*)|(C|)...,...O|C(|*)|=O...,...O)|C(|*)|=|O...
9,C(,2513,2,...CC=|C2|C(|*)CCC|1...,...*|O|C(|*)|=O...,...C(=|O)|C(|*)|=...
10,2)c,2485,3,...(*)c|c|2)c|c|1...,...(*)c(F)|c|2)c|c|1...,...(*|)cc|2)c|c|1...
11,=,2462,1,...1|C|=|C|NC2=...,...C(|*)|=|O...,...C(=O)O|CC1|=|CC|=...
12,C),2005,2,...*|CC(|C)|(|C...,...CC(|*)C(|C)|(C|)...,...O|CCC(|C)|(C|)CC...
13,CC(,1987,3,...*|CC(|C)|(...,...*|CC(|*)C(|C)...,...*|CC(|*)|(C...
14,),1862,1,...C)|(C|)|CCC...,...*)|(C|)|CC|=O...,...CN(|*|)|C1=CC=C|1...
15,c2ccc,1818,5,...=|O)O|c2ccc|(*)c(F)|c...,...OCCCCCC|O|c2ccc|(*)cc|2)c...,...(|O|c2ccc|(/C|=...
16,Oc1ccc,1813,6,...*|Oc1ccc|(|CCCNC(=O)NCCCC(=...,...*|Oc1ccc|(*)cc|1...,...*|Oc1ccc|(|S(...
17,O),1718,2,...*|C(=|O)|CNC(|*)C(=O)OCCCCCNC...,...O|C(=|O)|CCCCC|O...,...*|C(=|O)|C(|*)...
18,C(=,1553,3,...*|C(=|O)|CNC(...,...*|O|C(=|O)|CCCCC...,...*|C(=|O)|C(...
19,CC,1440,2,...(C|)|CC|=O...,...CC1|=|CC|=|C(O...,...(C|)|CC...
20,C(=O),1418,5,...*|N|C(=O)|CCCC(=O)|N*...,...(C|)|C(=O)|OCC([|2...,...(C|)|C(=O)|Nc1ccc|(C...
21,S,1391,1,...*|O[|S|i|]...,...*|C|S|(|*)...,...*)|O[|S|i|]...
