model,rank,token,frequency
PI1M_concat_22epoch,1,(,16191
PI1M_concat_22epoch,2,c,13469
PI1M_concat_22epoch,3,*,10075
PI1M_concat_22epoch,4,1,7350
PI1M_concat_22epoch,5,O,5689
PI1M_concat_22epoch,6,C,5627
PI1M_concat_22epoch,7,N,2982
PI1M_concat_22epoch,8,*),2680
PI1M_concat_22epoch,9,C(,2513
PI1M_concat_22epoch,10,2)c,2485
PI1M_concat_5epoch,1,(,20365
PI1M_concat_5epoch,2,c,18186
PI1M_concat_5epoch,3,C,7676
PI1M_concat_5epoch,4,),7368
PI1M_concat_5epoch,5,*,5456
PI1M_concat_5epoch,6,c1,5225
PI1M_concat_5epoch,7,1ccc,5021
PI1M_concat_5epoch,8,=,3238
PI1M_concat_5epoch,9,2)c,3184
PI1M_concat_5epoch,10,C),3113
MOSES_concat_5epoch,1,c,33912
MOSES_concat_5epoch,2,1,16060
MOSES_concat_5epoch,3,),9000
MOSES_concat_5epoch,4,cc,8908
MOSES_concat_5epoch,5,(,7634
MOSES_concat_5epoch,6,C,7596
MOSES_concat_5epoch,7,2,7322
MOSES_concat_5epoch,8,O,6983
MOSES_concat_5epoch,9,N,2878
MOSES_concat_5epoch,10,(C,2005
PI1M_concat_5epoch_2stage,1,c,41971
PI1M_concat_5epoch_2stage,2,C,20990
PI1M_concat_5epoch_2stage,3,(,16323
PI1M_concat_5epoch_2stage,4,),14093
PI1M_concat_5epoch_2stage,5,1,8388
PI1M_concat_5epoch_2stage,6,O,7781
PI1M_concat_5epoch_2stage,7,c(,6166
PI1M_concat_5epoch_2stage,8,1c,3924
PI1M_concat_5epoch_2stage,9,=,3518
PI1M_concat_5epoch_2stage,10,2c,3383
